Nome da Maquina;Data da Coleta;Uso de CPU;Load1;Load5;Load15;Uso de RAM;RAM total (bytes);RAM usada (bytes);Uso de Swap;Swap total (bytes);Swap usada (bytes);Uso de Disco;Disco total (bytes);Disco usado (bytes);Disco livre (bytes);Net bytes enviados;Net bytes recebidos;Net Down (Mbps);Net Up (Mbps);Pacotes IN (intervalo);Pacotes OUT (intervalo);Conexões TCP ESTABLISHED;Latência (ms);Perda de Pacotes (%);Freq CPU (MHz);Temp CPU (C);Uptime (s);Processo;PID;Usuario;CPU proc (%);MEM proc (%);Threads;RSS (bytes);IO Leitura (bytes);IO Escrita (bytes);Quando foi iniciado;Status
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;TickTick.exe;2628;DESKTOP-J1U1KVK\Alonso;0.0;0.4622869161376286;20;39108608;45093677;1161049;2025-11-13 19:26:13;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2708;;0.0;0.0969795447238867;8;8204288;4198319744;14832016;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2716;;0.0;0.031616396757213186;7;2674688;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2724;;0.0;0.019608944390002055;4;1658880;1024;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2812;;0.0;0.018737435750446407;5;1585152;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2824;;0.0;0.05902050175657408;5;4993024;409938;12273597;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;RuntimeBroker.exe;2844;DESKTOP-J1U1KVK\Alonso;0.0;0.007504657729506959;2;634880;21241;0;2025-11-13 21:10:27;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2896;;0.0;0.06415271930062401;6;5427200;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2904;;0.0;0.025080081960545834;4;2121728;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2952;;0.0;0.018059595697458682;4;1527808;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2960;;0.0;0.018882687190372345;7;1597440;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;Video.UI.exe;3004;DESKTOP-J1U1KVK\Alonso;0.0;0.00024208573320990187;15;20480;15117658;217088;2025-11-13 19:55:46;stopped
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;MemCompression;3024;;0.0;0.9927935918938078;70;84004864;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3040;;0.0;0.05335569559946238;8;4513792;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3100;;0.0;0.11315087170230814;14;9572352;1908;21879918;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3112;;0.0;0.38796659604218875;19;32821248;361211810;43461560;2025-11-13 17:41:44;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3160;;0.0;0.030067048064669814;3;2543616;0;0;2025-11-13 17:41:44;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3168;;0.0;0.14989948600357125;10;12681216;3710042;13017311;2025-11-13 17:41:44;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3216;;0.0;0.24126264171698822;14;20410368;242146121;8722130;2025-11-13 17:41:44;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;Dell.TechHub.exe;3252;;0.0;0.056551227277833085;29;4784128;4011077;1305991;2025-11-13 17:41:44;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3304;;0.0;0.07306147428274838;8;6180864;31593640;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;python.exe;3340;DESKTOP-J1U1KVK\Alonso;0.0;1.2694491678060835;15;107393024;19756445;260;2025-11-13 22:30:57;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3356;;0.0;0.01670391559148323;5;1413120;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3436;;0.0;0.013944138232890348;4;1179648;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3448;;0.0;0.04076723747254748;12;3448832;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;chrome.exe;3516;DESKTOP-J1U1KVK\Alonso;0.0;0.01278212671348282;8;1081344;29578;6948;2025-11-13 19:25:40;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;WavesSvc64.exe;3540;DESKTOP-J1U1KVK\Alonso;0.0;0.029437625158324068;6;2490368;18490;0;2025-11-13 19:25:54;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3568;;0.0;0.13029054161356918;5;11022336;151194455;17024088;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3584;;0.0;0.00910242356869231;5;770048;4719;160;2025-11-13 19:27:21;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;3720;;0.0;0.09349351016566411;17;7909376;266332;320;2025-11-13 17:41:43;running
